X,Y,field_1,Latitude,Longitude,layer,path
-3.3970671979475,5.373853301946,56,5.373853301946000,-3.397067197947500,2,D:\DATA_\Points_D5\2.shp|layername=2
-3.3972214353395,5.373769210486,57,5.373769210486000,-3.397221435339500,2,D:\DATA_\Points_D5\2.shp|layername=2
-3.3972175079985,5.373933815046,47,5.373933815046002,-3.397217507998500,2,D:\DATA_\Points_D5\2.shp|layername=2
-3.3970714823195,5.373936677734,59,5.373936677734000,-3.397071482319500,2,D:\DATA_\Points_D5\2.shp|layername=2
-3.3970696971645,5.373769210486,60,5.373769210486000,-3.397069697164500,2,D:\DATA_\Points_D5\2.shp|layername=2
-3.3974984913955,5.373576336882,61,5.373576336882000,-3.397498491395500,2,D:\DATA_\Points_D5\2.shp|layername=2
-3.3975013476435,5.373916638918,53,5.373916638918002,-3.397501347643500,2,D:\DATA_\Points_D5\2.shp|layername=2
-3.3974967062405,5.373830400442,65,5.373830400442000,-3.397496706240500,2,D:\DATA_\Points_D5\2.shp|layername=2
-3.3974253000405,5.373617488022,66,5.373617488022000,-3.397425300040500,2,D:\DATA_\Points_D5\2.shp|layername=2
-3.3973506805615,5.37391198705,67,5.373911987050002,-3.397350680561500,2,D:\DATA_\Points_D5\2.shp|layername=2
-3.3971514572635,5.37357383203,58,5.373573832030000,-3.397151457263500,2,D:\DATA_\Points_D5\2.shp|layername=2
-3.3935597254035,5.374085895346,11,5.374085895346000,-3.393559725403500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3937018237415,5.37415889389,12,5.374158893890002,-3.393701823741500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3937021807725,5.37431992009,13,5.374319920090000,-3.393702180772500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3970746955985,5.373611046974,63,5.373611046974000,-3.397074695598500,2,D:\DATA_\Points_D5\2.shp|layername=2
-3.3936289894175,5.374370374966,15,5.374370374966000,-3.393628989417500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3935615105585,5.37431992009,16,5.374319920090000,-3.393561510558500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3938417798935,5.37392630049,17,5.373926300490000,-3.393841779893500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3937043229585,5.37392451131,9,5.373924511310000,-3.393704322958500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3937014667105,5.374082674822,19,5.374082674822002,-3.393701466710500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3935607964965,5.374241554006,20,5.374241554006002,-3.393560796496500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3936314886345,5.37396566245,22,5.373965662450002,-3.393631488634500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3937771572825,5.373961010582,14,5.373961010582002,-3.393777157282500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3937735869725,5.374042955026,24,5.374042955026002,-3.393773586972500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3937721588485,5.374283420818,25,5.374283420818000,-3.393772158848500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3936339878515,5.374120247602,26,5.374120247602002,-3.393633987851500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3936297034795,5.374283778654,18,5.374283778654000,-3.393629703479500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3938385666145,5.374002161722,28,5.374002161722000,-3.393838566614500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3937007526485,5.374001803886,29,5.374001803886000,-3.393700752648500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3938435650485,5.374088758034,30,5.374088758034000,-3.393843565048500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3937018237415,5.374240480498,23,5.374240480498000,-3.393701823741500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3938385666145,5.374333517858,38,5.374333517858000,-3.393838566614500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3936300605105,5.374041523682,41,5.374041523682000,-3.393630060510500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3938410658315,5.374249068562,42,5.374249068562000,-3.393841065831500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3937650182285,5.37436822795,27,5.374368227950002,-3.393765018228500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3937710877555,5.374201476374,46,5.374201476374000,-3.393771087755500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3935647238375,5.374162114414,50,5.374162114414000,-3.393564723837500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3938385666145,5.374167124118,59,5.374167124118000,-3.393838566614500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3937689455695,5.374120247602,31,5.374120247602002,-3.393768945569500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3935665089925,5.37392630049,63,5.373926300490000,-3.393566508992500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3933422935245,5.374354272346,5,5.374354272346000,-3.393342293524500,21,D:\DATA_\Points_D5\21.shp|layername=21
-3.3934194122205,5.374319204418,14,5.374319204418002,-3.393419412220500,21,D:\DATA_\Points_D5\21.shp|layername=21
-3.3936325597275,5.374202192046,45,5.374202192046002,-3.393632559727500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3932780279445,5.374313836878,18,5.374313836878002,-3.393278027944500,21,D:\DATA_\Points_D5\21.shp|layername=21
-3.3934219114375,5.373991426642,19,5.373991426642000,-3.393421911437500,21,D:\DATA_\Points_D5\21.shp|layername=21
-3.3934926035755,5.374362502574,20,5.374362502574002,-3.393492603575500,21,D:\DATA_\Points_D5\21.shp|layername=21
-3.3935643668065,5.37400144605,62,5.374001446050000,-3.393564366806500,20,D:\DATA_\Points_D5\20.shp|layername=20
-3.3934954598235,5.374034724798,25,5.374034724798000,-3.393495459823500,21,D:\DATA_\Points_D5\21.shp|layername=21
-3.3933508622685,5.373950633338,29,5.373950633338000,-3.393350862268500,21,D:\DATA_\Points_D5\21.shp|layername=21
-3.3933472919585,5.374036156142,30,5.374036156142000,-3.393347291958500,21,D:\DATA_\Points_D5\21.shp|layername=21
-3.3934890332655,5.374276621934,15,5.374276621934000,-3.393489033265500,21,D:\DATA_\Points_D5\21.shp|layername=21
-3.3921765873095,5.372531455762,78,5.372531455762000,-3.392176587309500,106,D:\DATA_\Points_D5\106.shp|layername=106
-3.3921719459065,5.372610895354,82,5.372610895354000,-3.392171945906500,106,D:\DATA_\Points_D5\106.shp|layername=106
-3.3923815231035,5.372571533394,83,5.372571533394000,-3.392381523103500,106,D:\DATA_\Points_D5\106.shp|layername=106
-3.3932798130995,5.373995005002,24,5.373995005002000,-3.393279813099500,21,D:\DATA_\Points_D5\21.shp|layername=21
-3.3921016107995,5.372824523446,84,5.372824523446000,-3.392101610799500,106,D:\DATA_\Points_D5\106.shp|layername=106
-3.3922479935095,5.37265598269,86,5.372655982690000,-3.392247993509500,106,D:\DATA_\Points_D5\106.shp|layername=106
